Accession;Peptide count;Unique peptides;Confidence score;Anova (p);q Value;Max fold change;Power;Highest mean condition;Lowest mean condition;Mass;Description;W2_20241206_LSanders_K1_01;W2_20241206_LSanders_K1_02;W2_20241206_LSanders_K1_03;W4_20241206_LSanders_K2_01;W4_20241206_LSanders_K2_02;W4_20241206_LSanders_K2_03;W8_20241206_LSanders_K3_01;W8_20241206_LSanders_K3_02;W8_20241206_LSanders_K3_03;W12_20241206_LSanders_K4_01;W12_20241206_LSanders_K4_02;W12_20241206_LSanders_K4_03;W16_20241206_LSanders_K5_01;W16_20241206_LSanders_K5_02;W16_20241206_LSanders_K5_03;W20_20241206_LSanders_K6_01;W20_20241206_LSanders_K6_02;W20_20241206_LSanders_K6_03;W24_20241206_LSanders_K7_01;W24_20241206_LSanders_K7_02;W24_20241206_LSanders_K7_03;W28_20241206_LSanders_K8_01;W28_20241206_LSanders_K8_02;W28_20241206_LSanders_K8_03
P06681;48;41;377.7221;3.95683485976406E-13;1.51239021306537E-12;3.43218873838258;1;W28;W12;84636.6468;Complement C2 OS=Homo sapiens OX=9606 GN=C2 PE=1 SV=2;46310.3125586516;38462.9425236109;37708.5415302404;56142.1244943069;57035.2460032123;59590.8521428997;40045.8046046526;40563.2181150843;39598.2553832141;26495.4417256421;28176.487759399;30628.6521516127;42888.6276383327;44067.2035744953;43758.2310826305;43490.9796509338;42950.0185589074;45227.6577930084;58388.29690802;59968.8038759748;63464.1521348952;93804.0455094982;100449.387211718;98514.2629495902
"P00738;O75962;P16949;P23378;Q14203;Q5TB80;Q7KYR7;Q8NEN0;Q8WY36;Q9Y520";168;127;809.3696;4.30322444344711E-13;1.6267134159844E-12;1.93586389994695;1;W20;W2;45889.6837;Haptoglobin OS=Homo sapiens OX=9606 GN=HP PE=1 SV=1;469129.013139305;489641.233932486;489348.257306665;607126.396739439;621249.582656203;673565.70840576;955872.476981492;943159.79677525;901318.549415467;542614.613047904;549643.574517555;548878.65540562;780054.002889628;807570.684348221;819993.828318836;899042.631102811;954244.178605534;950073.525763076;812654.970185457;764858.933099475;801543.094370863;672904.631971508;641864.423660562;713977.013959711
Q13790;4;4;23.8208;5.85531623187308E-13;2.18937911278732E-12;14.3899823237928;1;W2;W20;35741.7273;Apolipoprotein F OS=Homo sapiens OX=9606 GN=APOF PE=1 SV=2;11057.2731212586;10164.0014929802;8304.95746181654;7818.38384951801;8561.61782205064;8552.52457437472;4673.2866886451;5543.64500561951;4285.39271995111;7670.99396257545;5369.24680179413;5401.04534636778;3203.34179272321;3566.23966815139;3706.63989846854;741.51225867297;595.260806848058;715.087139146205;5506.99627818838;7403.77448260987;7089.22756563277;6607.78844918082;6887.51719180357;6562.5749640771
Q08380;30;27;176.5169;6.9155792203901E-13;2.55802070087548E-12;2.64966014518924;1;W8;W2;66243.5215;Galectin-3-binding protein OS=Homo sapiens OX=9606 GN=LGALS3BP PE=1 SV=1;29033.5730436888;28624.6914536998;30486.6570675;32789.9674475399;32773.8113859106;33181.3606071261;77951.7069410238;76533.9631398462;79068.415590447;70376.1024444911;65751.5532481537;64892.8860599946;45491.3715651638;45617.5463841738;49525.2672875154;63589.1860562513;65579.7261993674;65131.5212047158;39110.24498261;38692.0800350101;42356.0027962584;47299.2417648004;42354.4049522257;53730.2231711733
P19013;4;3;23.7645;7.60169704960845E-13;2.7818976436865E-12;1.43036550506826;1;W24;W12;56543.3077;Keratin_ type II cytoskeletal 4 OS=Homo sapiens OX=9606 GN=KRT4 PE=1 SV=5;287080.373142431;283671.164748218;288566.137761533;283780.323318974;294739.35515389;305688.763972748;353443.249769849;346645.344810958;348123.442421189;274417.381872645;285861.531467186;292665.994099513;355647.022480146;363894.814237664;372735.461582055;389043.164246787;394067.394490316;409894.518751726;406462.395322107;405237.406826818;408323.171175956;394755.053711656;391267.360386921;409192.913832323
P10909;52;49;377.2171;8.05799871272939E-13;2.91784374439885E-12;111.463979638536;1;W20;W8;53064.9683;Clusterin OS=Homo sapiens OX=9606 GN=CLU PE=1 SV=1;174275.316449612;169412.176393254;165365.311292475;46762.8873130067;41175.8206882822;40484.3517958164;5504.30742339994;2103.69916288959;2705.78750190615;67436.8706269295;99363.5901500852;166921.141669775;261792.673335279;283153.165688756;288661.524427501;334204.213588682;417817.530848616;397594.789805399;431297.730144678;368280.204027676;340798.368246781;286505.006707485;253388.593954424;276643.452262143
P06727;85;81;612.9393;9.20374887414255E-13;3.29801001323441E-12;1.89984086420264;1;W8;W2;45372.0928;Apolipoprotein A-IV OS=Homo sapiens OX=9606 GN=APOA4 PE=1 SV=4;207089.779784866;208254.009061195;200145.998755903;219420.875107384;222120.185722721;229029.366731996;388720.091946927;402120.155432997;378492.402605691;273636.737993144;281111.653912536;285459.198052195;228940.353911617;233214.807712356;255425.040293109;329952.651093453;365875.367937409;385183.903625543;353333.551555729;353096.930886367;355142.479088974;224114.807773201;227242.01939886;229609.270272751
P01859;5;1;39.759;1.12365672322312E-12;3.98492693596653E-12;3.09869817273033;1;W24;W28;44547.1713;Immunoglobulin heavy constant gamma 2 OS=Homo sapiens OX=9606 GN=IGHG2 PE=1 SV=3;32077.2092970473;34445.7048690934;29815.7860604506;22100.9591750795;23032.0967958089;22045.8363628473;34633.3664544448;32586.4590809392;32492.4136811777;27045.8603223232;25797.0553965919;26038.5189107172;27040.0819385508;32122.2286027694;33954.7166943921;34841.762237171;36497.7110519918;36993.9993957959;60411.2891201396;59264.473336006;60844.0525951776;19514.2363138926;19514.0264666879;19228.4001754838
P35542;20;17;119.5246;1.24089627462354E-12;4.3557991680663E-12;4.04070733714075;1;W8;W28;14860.7375;Serum amyloid A-4 protein OS=Homo sapiens OX=9606 GN=SAA4 PE=1 SV=2;45528.589505086;59980.9198806886;46332.8067817227;76788.868369545;79198.5364985828;85844.2652069278;167115.320248528;176781.614302178;175138.537892644;117398.947231779;110676.872368865;106646.065025886;102156.034562725;102301.849394732;95648.0431753443;135029.039922699;139143.276939248;139877.652706069;65895.5199712638;74475.4627519246;72070.6478225522;46052.0398686594;44300.8556321566;38098.7415857307
"A5A3E0;Q6S8J3;P0CG39";19;10;133.8657;1.30873090142813E-12;4.5475093948614E-12;2.42338111313046;1;W16;W28;123098.626;POTE ankyrin domain family member F OS=Homo sapiens OX=9606 GN=POTEF PE=1 SV=2;45666.453486393;47883.8513076243;45877.3444801777;47506.1984369528;48652.9420794284;51502.6783366508;40262.1921294058;40744.0905418177;41059.7092445329;36180.8596939264;34602.6925239279;33302.7529719191;70595.082342313;81144.0666521469;92185.7611224041;79260.5726946841;79353.635373587;78143.6780884467;67194.8424021536;68642.3662650632;71086.4040369683;33695.8379790874;31880.4317018779;35078.5174654807
P0DJI8;9;3;80.6031;1.37345690376378E-12;4.66425155579208E-12;4.84057951231332;1;W4;W12;13603.0988;Serum amyloid A-1 protein OS=Homo sapiens OX=9606 GN=SAA1 PE=1 SV=2;12794.6072737565;10930.1750582807;10961.9914694749;29092.862311798;30571.6914444976;29458.4409794899;8527.3447312617;6158.00384649918;6824.10453231972;5667.22918336117;6495.77137443123;6248.63683171377;7240.03179980793;7456.29472519519;7575.144512039;9702.61033586662;9098.51304409826;11055.4234175487;11908.1957392901;11891.2376713121;12596.7588925489;17569.2869604204;19530.1189678164;17718.6543605596
"P01764;P01768;P0DP03";6;2;52.7103;1.37556632751057E-12;4.66425155579208E-12;4.31908810074695;1;W24;W12;12753.4189;Immunoglobulin heavy variable 3-23 OS=Homo sapiens OX=9606 GN=IGHV3-23 PE=1 SV=2;35368.1514802447;43679.1102086506;46274.8521370928;92794.4753663446;97729.3108534546;101954.751437194;43170.155467164;50629.997859548;48723.7923932488;30612.9849623292;28368.2132363719;31644.5233824636;78805.3646960514;71854.9298473737;75624.6205379618;73480.9157867335;77779.5701806428;77800.2224513207;136374.033035109;130318.059608574;124728.383059131;73947.5356640542;70308.292345691;84449.5459088484
P51884;25;20;205.9444;1.38300482177556E-12;4.66425155579208E-12;2.41942149009596;1;W28;W12;38771.222;Lumican OS=Homo sapiens OX=9606 GN=LUM PE=1 SV=2;60514.780766961;55461.7400430441;53034.0832108741;75573.9749463231;76990.4133279107;77686.4302613914;46097.1787582926;40264.8138075249;46280.1117656946;37139.7743973486;42345.9944458484;41187.5753539219;40980.7247000558;42901.1616406665;43544.5555627132;48143.4216914377;47948.9881160358;49516.5569800101;71634.7124725309;70043.2701394614;73584.1659772177;91168.434310877;101943.922547217;98847.3253741616
P02549;10;8;52.7652;1.52167167755124E-12;5.08208793279249E-12;7.77003863865547;1;W20;W4;281212.3956;Spectrin alpha chain_ erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTA1 PE=1 SV=5;12954.6693739708;11243.5665156888;15367.9363109262;8409.31649083191;7722.55786140668;6475.54603779163;40671.7135765219;44474.0660488167;33411.0157980971;35673.0989778725;38147.4333571322;45175.135710583;34517.360014361;43414.8033138553;39698.8855598726;54598.6939124272;59797.4998765589;61264.3361618762;28217.2936598622;27093.4965370571;29463.657318991;44936.346962483;48136.7075801747;51604.7204057645
P35858;38;32;340.4574;1.56041846111066E-12;5.16138414059679E-12;2.2840357197918;1;W20;W2;66776.4107;Insulin-like growth factor-binding protein complex acid labile subunit OS=Homo sapiens OX=9606 GN=IGFALS PE=1 SV=1;203490.436179141;199469.238767859;198646.677078591;194603.762918599;204934.139319517;206554.59869535;357649.634366824;398683.584612332;415444.000864422;431523.206926572;433451.464379817;441983.177987023;342096.407130663;329223.905208963;328756.692177059;435523.417882801;471067.4620166;467499.517380686;364452.891383868;308751.793302019;302848.521073026;296680.501673963;286060.692211092;296950.183300908
P02748;57;50;329.3135;1.80733206178729E-12;5.92116408814122E-12;1.91283179491453;1;W24;W28;64656.1742;Complement component C9 OS=Homo sapiens OX=9606 GN=C9 PE=1 SV=2;195309.142701583;210744.533948853;206013.375678062;212348.9538654;217935.311928146;225148.046713718;222449.305507378;226265.831519349;226779.379886936;208675.84753952;198536.020378755;189004.996142407;261568.724960669;264536.195900219;282330.167868;278324.394719182;292994.803372499;300106.166176489;299229.95112726;292709.783340796;297788.028879254;153308.982422846;149382.906817714;162444.546546814
P05090;34;31;180.0954;1.94300131539649E-12;6.30558917449426E-12;1.62740238901556;1;W28;W16;21560.7271;Apolipoprotein D OS=Homo sapiens OX=9606 GN=APOD PE=1 SV=1;143506.040932799;147351.082988386;147465.672308584;195084.654947333;198459.635945109;206737.193210173;215108.221329106;215430.628899125;195432.651354527;162065.333122629;154120.166061671;157633.236116651;136843.966439621;137331.835630183;139458.973249533;153660.677584469;164551.93611673;157378.985391654;161404.881822188;160971.917004281;163673.750972682;221705.864027479;221373.65522365;230070.702283477
P02753;23;22;160.9485;2.03648209406992E-12;6.54719476972013E-12;1.63931559953009;1;W28;W2;23352.2121;Retinol-binding protein 4 OS=Homo sapiens OX=9606 GN=RBP4 PE=1 SV=3;135621.272997368;139679.548401843;136050.949055065;144225.326473653;149971.883138799;154972.031148376;155150.829692701;153163.023887315;156595.548071282;149419.448319148;153617.007146316;151326.674597811;171294.111983983;177464.636848648;189634.69125896;159880.272884608;164954.181168974;167597.681880138;228787.851912308;221265.421790644;223932.835230345;224501.150521295;214870.039510872;234964.184167848
"A6NCI4;Q9BQI0";5;4;38.6359;2.20168328013415E-12;7.01276896635321E-12;2.24228537383687;1;W4;W12;135616.976;von Willebrand factor A domain-containing protein 3A OS=Homo sapiens OX=9606 GN=VWA3A PE=1 SV=3;34874.14845007;30768.3696723985;30704.5036672986;43429.572062288;45491.9149612299;44812.0678803937;31948.355896667;33305.2869742159;32635.4639870993;20864.4181115721;19513.7157280279;19263.4962866646;27417.0323602437;27408.5399473753;29388.4773680671;29224.0622036458;28546.8969511461;30751.3771438451;43023.5401046815;43111.584030647;43541.8039506474;37792.8112945627;36650.5058311744;33967.1746267407
"P0DOY2;P0DOY3";15;4;196.1247;2.26418883642054E-12;7.13177395926902E-12;2.6804319906152;1;W28;W8;11464.6553;Immunoglobulin lambda constant 2 OS=Homo sapiens OX=9606 GN=IGLC2 PE=1 SV=1;281500.659827836;310123.745382999;324583.952314181;433281.851175866;482305.916550051;519055.683879774;280444.44478229;290059.867165263;312318.782009185;321677.853534608;321343.283948724;340322.196436278;585307.188840003;575625.95063412;632469.336612361;485525.4601708;524058.931045667;528309.551747444;807338.149423042;769791.226877224;779194.018609451;729725.379307563;746734.181114286;889887.702673676
P0DJI9;6;1;71.4031;2.28050911488253E-12;7.13177395926902E-12;7.0972682120212;1;W4;W28;13584.1433;Serum amyloid A-2 protein OS=Homo sapiens OX=9606 GN=SAA2 PE=1 SV=1;14188.2142539488;17518.140900149;15911.6618228947;67563.94597169;68562.2675943067;68340.592950181;23650.4811783353;23067.6542144686;23308.094470243;24722.645806979;24088.8417439877;23378.0710433231;15308.0721449269;16182.6498845506;14334.2004357699;23776.9400297302;23211.2874194633;22284.2852446731;14184.7391513985;15370.5622759367;14043.3731267709;7243.1838352186;11148.5573327991;10417.4852002146
P22352;17;17;116.1841;2.30915286891786E-12;7.15629357574545E-12;5.24316743867316;1;W28;W2;25630.453;Glutathione peroxidase 3 OS=Homo sapiens OX=9606 GN=GPX3 PE=1 SV=2;31498.7605464607;27784.3022863618;27606.4353295054;32974.4150078659;42198.4069172252;43679.5266386523;54155.1182644349;55645.6210882805;50137.5106634343;36926.0743284117;42894.3755074975;45313.8808220743;47932.5273086483;46451.4031041465;49638.1388023865;56376.7696832022;55374.0680268095;61987.2397871535;53583.229207686;51336.9011564194;49888.0842629237;146129.876713646;152433.536214513;157012.77459921
P00748;27;27;196.6802;2.39963604542481E-12;7.37031071094764E-12;2.1217272041053;1;W20;W2;70073.2498;Coagulation factor XII OS=Homo sapiens OX=9606 GN=F12 PE=1 SV=3;65441.5705813456;59374.7993341024;60378.7303656133;71164.4197422553;74097.5429179442;80147.8973626489;98473.2195713131;103350.723111976;113814.086597753;94400.7116002708;96747.7302282133;97367.4668672861;119839.550467525;118445.437823091;119790.303558425;130406.877990138;133079.548728025;129447.055615174;124933.839237844;123648.151207296;124698.557452296;92751.6404056101;87348.2118080118;96205.5766632107
P01591;23;22;175.303;2.45148346067481E-12;7.46292310152331E-12;2.55700311332715;1;W28;W20;18554.8268;Immunoglobulin J chain OS=Homo sapiens OX=9606 GN=JCHAIN PE=1 SV=4;323090.633302179;301812.559691514;292584.904284073;248769.864125571;257030.552565421;256163.746668827;194918.353118974;184206.092498158;187580.90391246;255361.157038468;265945.738403813;274885.833275139;251457.007588202;234044.095699776;248999.342707997;137898.912853913;149603.079001128;149916.599153214;251329.012594819;236173.465982613;260593.0714237;340376.381347927;381242.966545201;396861.351142155
Q14789;13;8;68.6265;2.47435405498209E-12;7.4664718852091E-12;3.17568069243952;1;W28;W20;377445.3848;Golgin subfamily B member 1 OS=Homo sapiens OX=9606 GN=GOLGB1 PE=1 SV=2;31038.0467164222;35625.1667840737;32826.8351956346;47347.4761123432;52038.867144559;50697.1089687216;47357.5770664382;43504.1538369967;39551.2430803066;48287.3385534757;46331.6846595263;45352.7285934411;42245.2225586106;40402.7168792498;43291.6781867592;27677.4096157562;26150.5327016347;25884.2276445413;49319.859230519;53103.7192484048;55717.223747928;81248.5402847347;82566.3594231024;89325.4993927288
P02679;132;120;729.7145;2.99860136721009E-12;8.96972930713278E-12;1.74395980999163;1;W24;W2;52139.0338;Fibrinogen gamma chain OS=Homo sapiens OX=9606 GN=FGG PE=1 SV=3;511918.869406058;536703.976857323;518988.111839533;558918.146014018;580205.249069564;618351.383597549;866015.381421643;884660.898398704;850381.707739666;735795.309525621;697419.432157585;704007.751794969;699785.669161749;695951.362970783;745742.956479498;619047.144951444;620237.199995094;660013.029021001;909565.278869873;911057.224857546;913228.00490654;883822.371734748;866577.066228462;951379.989865711
"A0A0C4DH38;A0A0J9YXX1";4;4;29.1817;3.129163594906E-12;9.27958859179022E-12;14.1815138787286;1;W28;W20;12845.6615;Immunoglobulin heavy variable 5-51 OS=Homo sapiens OX=9606 GN=IGHV5-51 PE=1 SV=1;11924.6014309685;10783.3967088205;10158.6125656522;14071.0408899372;14460.5779856847;17075.0675001825;3511.53191128483;3353.47638521729;3835.61023263502;2816.29550062131;1322.90879298287;1641.50739338202;2595.18885019497;2355.88852191243;3406.29791725794;1570.88128067504;1648.62626488601;1798.2281447473;9664.87775736077;9622.42080226106;11005.9443400771;23235.0170026677;21298.545635701;26625.5256935309
P02749;40;36;217.0003;3.1596947280832E-12;9.29004261932153E-12;2.56630419705242;1;W24;W12;39609.831;Beta-2-glycoprotein 1 OS=Homo sapiens OX=9606 GN=APOH PE=1 SV=3;123335.30491268;139091.161539245;136964.184868573;236097.626653104;245813.652938823;263966.340608146;174442.57594918;207113.434374452;197699.01531919;121945.807933639;111235.373958825;126067.218439658;189856.741860715;186429.822039556;190857.796931755;179379.119654983;173764.673283079;182570.892017791;309769.407157455;307072.686374151;305098.584025084;235704.414344484;242983.998633351;259988.935360878
P00739;36;12;468.5329;3.68738373168753E-12;1.07496610483094E-11;2.17379427135395;1;W28;W16;39542.8602;Haptoglobin-related protein OS=Homo sapiens OX=9606 GN=HPR PE=1 SV=2;141831.060567795;127588.571634515;126016.240532696;142598.195380052;146444.256356506;154824.054079995;152565.60894977;151665.214124595;152732.651353384;175068.112647667;171706.674349784;173573.016429576;94654.438893489;95716.682815472;105656.810956625;111537.357742881;113742.753516295;120388.103819313;151343.516926027;155781.413067604;160411.331433792;214808.729874139;221388.214649309;207306.879665756
P02741;5;5;41.0789;4.61020110975596E-12;1.33269679139164E-11;11.7477667233357;1;W4;W12;25209.6853;C-reactive protein OS=Homo sapiens OX=9606 GN=CRP PE=1 SV=1;3180.66550297223;3570.2189034019;3209.01574865896;18967.4145814669;19095.2031951773;20173.3434497667;1762.46706028234;2066.5600747143;2637.55321851313;1258.9757787401;1514.80523390787;2183.41320118769;2102.06316891934;1963.99916962711;1495.31561922347;2404.74519676746;2415.90454439583;2202.51906369435;2405.96139849485;2636.66950134477;2610.32696698051;6515.47261801433;7277.67701440667;6915.04522172511
A0A0C4DH43;4;2;45.1482;4.87854201480786E-12;1.39851537757825E-11;2.43012178376894;1;W24;W28;13483.5636;Immunoglobulin heavy variable 2-70D OS=Homo sapiens OX=9606 GN=IGHV2-70D PE=1 SV=1;70978.7459369426;55075.6654179534;56795.9862852095;110406.856785661;104016.790261208;104690.26916228;86807.7293606737;87735.337920027;84172.7007814172;69265.9386667802;68349.2984113281;67871.3896261129;85069.8267930562;87077.3516598963;87002.1024749678;106767.644452775;110753.010520064;112785.343975179;114734.428262347;113297.428165534;119497.452322055;48951.3457396023;48191.2037681715;45866.4597818524
P0C0L4;263;118;1811.2133;5.47162315456262E-12;1.54281833210618E-11;1.97769779624796;1;W20;W28;194382.5114;Complement C4-A OS=Homo sapiens OX=9606 GN=C4A PE=1 SV=2;183840.217794579;185771.655298406;187784.113209977;204137.183345888;208487.796364698;219112.051407798;189277.990729911;182012.832254655;180034.788307961;206386.936741565;182227.91995381;179640.08470339;226756.537534397;227533.168854871;224728.860440558;240921.388846352;241737.817221382;235869.828658351;240863.65100248;233638.645198065;231736.160008123;128487.529450103;114988.980608719;119839.379805272
P0C0L5;153;14;1881.7385;5.47162315456262E-12;1.54281833210618E-11;1.97769779624796;1;W20;W28;194291.4576;Complement C4-B OS=Homo sapiens OX=9606 GN=C4B PE=1 SV=2;325550.942827394;328971.20259387;332534.936244602;361493.547503522;369197.771242711;388011.588412927;335180.34888019;322314.942062336;318812.149912037;365477.492626509;322695.827181439;318113.19441608;401548.72242963;402924.00941331;397958.038097508;426632.356222806;428078.11727787;417686.869747204;426530.111949301;413735.808941083;410366.818984854;227530.389464525;203626.668315627;212215.931592563
P01602;7;2;49.8339;5.59985391390683E-12;1.5661380051902E-11;4.31823450516039;1;W28;W20;12952.663;Immunoglobulin kappa variable 1-5 OS=Homo sapiens OX=9606 GN=IGKV1-5 PE=1 SV=2;10120.5300792798;8846.21537515343;8835.63706399913;13840.7659344934;13629.4333067991;14567.7435275353;3964.5884429232;4799.59490316163;5034.46112159438;4893.82768317943;4748.2778717002;4741.99522108264;5663.92301504808;6186.01411551186;7077.92972191264;4153.91908452022;4385.82531039183;4267.92474394585;12642.339039399;13136.203274622;17743.4779117979;20581.9642445628;16698.1297603877;18026.4248011435
P0CG38;6;1;56.4194;5.73274760995446E-12;1.59037514340672E-11;2.26834829058293;1;W24;W28;122936.3902;POTE ankyrin domain family member I OS=Homo sapiens OX=9606 GN=POTEI PE=1 SV=1;113313.827605746;125092.260939221;116136.162920662;116681.452217786;117954.749653789;124962.677308726;106484.931860198;107526.95848197;105158.610418044;90757.4733137053;89145.5787580585;85491.184604526;135533.518398097;140449.112132392;151447.472838131;154015.226451903;155448.504999505;155491.312836078;166380.080835993;169467.409403645;167403.157273044;81051.6942655618;74754.8893637294;66051.1661712718
P04004;62;55;356.8996;5.80124837057383E-12;1.59650355158192E-11;1.85691719967307;1;W28;W12;55104.0374;Vitronectin OS=Homo sapiens OX=9606 GN=VTN PE=1 SV=1;309818.975004929;313122.037237148;309619.060332378;388774.887018631;391707.536873826;405281.988620063;344682.452730689;329484.184140652;317686.252517628;252799.461653369;245744.857721146;242473.17227682;300558.841290632;319371.881610469;324994.925671336;309688.677355239;324469.254573007;334904.112612185;437435.459854447;437925.844478616;460687.078937807;436485.398568914;449093.496704755;490429.230232295
"P04114;P33981;Q15022";546;496;4134.0654;6.09889916347583E-12;1.66509627955213E-11;1.71467396059017;1;W24;W12;516971.0674;Apolipoprotein B-100 OS=Homo sapiens OX=9606 GN=APOB PE=1 SV=3;1174716.72908769;1156370.67912757;1135319.75920464;1147675.64461204;1172742.06772808;1206328.47362962;1640220.76678208;1613473.35806979;1607573.83656415;1018262.88160923;948583.08121114;949511.452304939;1371915.90671159;1367690.51179445;1488183.01328756;1322363.98342409;1339721.47994134;1412059.52192827;1701060.92892016;1618548.15176915;1680993.03880013;1228021.51870243;1257038.09826737;1311152.84638282
P20742;64;43;599.3357;6.95210555790027E-12;1.88309000938401E-11;3.80719770259845;1;W28;W12;165345.8858;Pregnancy zone protein OS=Homo sapiens OX=9606 GN=PZP PE=1 SV=4;126800.58915972;125973.821624955;115800.35137236;215197.972691161;228154.602824337;233975.358811489;89992.0577452543;100229.352686501;68416.1820382877;81659.1324349038;77295.6487981597;74791.1434457556;120751.682822014;126476.698104644;132989.063990929;130477.397801189;137287.214706308;137169.627534666;199888.955886782;198520.956433611;203872.015713256;313797.478224152;271245.39803974;304874.071165058
P05783;3;3;23.7996;8.87079298905746E-12;2.38402561580919E-11;3.82591529499208;1;W8;W2;48057.8904;Keratin_ type I cytoskeletal 18 OS=Homo sapiens OX=9606 GN=KRT18 PE=1 SV=2;31257.5838050368;37390.5121310822;39535.8844589472;50123.9433634997;54847.057306753;60729.6829843736;129533.410905185;152409.32740677;131960.006954653;97542.5835816254;103986.646624346;92246.2725277249;72672.8817547009;71274.4973703257;77691.2733862992;91872.7132106143;102292.944475989;97033.9213047208;94841.4974406983;88554.1765016779;90695.3042926959;95927.3078946299;92404.6345935023;102167.611964353
Q9UK55;28;26;200.7991;9.33830790472712E-12;2.49021544126056E-11;24.3030655979969;1;W20;W8;50821.1567;Protein Z-dependent protease inhibitor OS=Homo sapiens OX=9606 GN=SERPINA10 PE=1 SV=1;7504.79434653045;7399.48402565366;9083.51032937519;9762.89059431771;9550.32862660686;10627.4020162113;5539.51124842852;4069.49045784623;3319.81258851996;19836.8931164981;34292.7981237958;37326.2469158987;42868.8997850654;45794.6071833764;48134.9713917468;101222.991517746;99851.6911362721;113135.139256698;39027.0683272452;26548.1800421686;24766.7152564022;19174.283248582;19362.617376973;16575.3464607226
P01023;323;272;1918.2384;9.65183488688126E-12;2.55402400083627E-11;2.45915237513143;1;W12;W20;164716.9032;Alpha-2-macroglobulin OS=Homo sapiens OX=9606 GN=A2M PE=1 SV=3;607658.672994135;598272.231985094;575057.355434404;697949.939106114;715775.523392904;739832.756369585;1031724.38261602;890831.255454543;980081.909187229;1295594.9775107;1209181.15073241;1156683.86868026;547704.743689965;571945.718047362;612429.824853451;499780.429108794;504437.468326082;484693.499008248;622399.577179182;656040.192504855;634436.234713831;905979.783027014;893748.484010464;766513.536489606
P02750;33;29;230.3854;1.03707042953261E-11;2.72329944854363E-11;2.17358295171355;1;W4;W12;38406.0628;Leucine-rich alpha-2-glycoprotein OS=Homo sapiens OX=9606 GN=LRG1 PE=1 SV=2;58781.5645351526;61620.115548442;60573.6947987546;90724.7703570455;93771.2270656729;93824.3765255755;59868.0310943882;49016.7882113764;51274.2699124106;41559.5623338755;42783.3479622768;43703.9046316511;63492.6872360112;62262.2170524915;64636.5346147865;76240.9957357483;73541.782620962;78409.6165595085;82738.6018330908;77476.9519960311;76143.5868099648;74411.9839339894;73663.8822094298;75403.8358517005
P04278;8;6;52.3753;1.11325393348238E-11;2.90120722059045E-11;3.57744442676046;1;W4;W8;44007.3798;Sex hormone-binding globulin OS=Homo sapiens OX=9606 GN=SHBG PE=1 SV=2;9422.5217755467;8497.53283427462;8013.01107859754;9401.77807043757;9995.44753738799;9585.03230918713;2252.41146334774;2886.84874883453;2962.12571018619;2702.60733953864;2948.42692999797;3251.92039734891;4812.06516804831;5479.32210663077;5224.54244055446;5076.2705094225;4502.41027490898;4177.04536425353;8181.24940741383;8550.82591283145;8175.06230675762;3992.8333386415;4122.5202204741;3379.17912872039
"P0DOX7;P04430";20;5;212.7638;1.28892452266882E-11;3.3337596676547E-11;1.81612186235402;1;W24;W8;23664.2431;Immunoglobulin kappa light chain OS=Homo sapiens OX=9606 PE=1 SV=1;70315.7028094589;73007.064296748;68417.0961315518;70825.003383505;71467.8995465942;77451.6576043827;56888.4451540046;51918.5933662953;57067.3716091483;58299.3764898262;55426.6994196436;53340.7211201975;73904.4664920772;72079.3728084537;79380.9872750488;72932.9820838692;72573.7667243267;77604.4174175111;100568.922674139;101640.2489536;99038.971013429;98521.2162809208;96382.0260605331;94756.3025815259
P43251;15;13;102.3444;1.34637856419317E-11;3.45637482151083E-11;3.77660870691867;1;W16;W2;62045.4586;Biotinidase OS=Homo sapiens OX=9606 GN=BTD PE=1 SV=2;27573.2058696079;29872.6012303037;31759.7276561731;31725.7690918931;33953.6850913498;37127.8323027321;76976.4218671957;119426.248932935;121130.111019221;93205.5165478449;93443.100965963;100536.053098681;111935.75142934;108658.676397921;116299.971437905;98440.1521157093;109982.053843835;105183.290268648;63971.5887814509;63518.3521742706;65341.9139890496;36368.4383692858;38262.7985965671;34091.09192119
Q9BVV6;9;8;59.2601;1.35880195983873E-11;3.46242869766313E-11;2.1118226814362;1;W28;W12;170276.3532;Protein TALPID3 OS=Homo sapiens OX=9606 GN=KIAA0586 PE=1 SV=4;264988.692100742;253655.83175195;235394.03457352;235804.097602188;235243.086398723;207822.264964911;212211.057316938;223368.650721909;199666.544211249;184071.835822873;179177.546713673;178795.762617058;194353.240518482;197493.851196955;208757.134200166;184614.689021494;191461.83079079;197967.799441331;260250.465217748;261252.257344035;266808.140065475;383047.055552212;389008.822790639;372647.353554904
P02647;177;160;989.5553;1.67523772631739E-11;4.23736601362634E-11;1.82588179377357;1;W16;W2;30777.8694;Apolipoprotein A-I OS=Homo sapiens OX=9606 GN=APOA1 PE=1 SV=1;533013.557983144;604365.125538193;578775.617117267;598307.088977754;609692.461721738;637391.568253877;799993.985439828;768427.638683909;784398.718878466;757021.733567721;708257.011865484;760107.468436719;1042819.90071572;1022524.01758663;1068150.97453989;1051769.15313146;1006887.50999959;1022482.81063518;853926.55288396;875537.824770913;842371.200244546;867302.150102853;827693.419801269;759453.349238865
